node,community
4333656810,7
4333657381,7
4333657384,7
4333657785,7
4333662790,7
4333662797,7
4333663469,7
4333667651,7
4333669703,7
4333669757,7
4333669763,7
4333672107,7
4333677273,7
4333677276,7
4333678134,7
4333678136,7
4333681523,7
4333681526,7
4333681543,7
4333681545,7
4333681548,7
4333681569,7
4333681575,7
4333681578,7
4333681580,7
4333681979,7
4333682352,7
4333682364,7
4333684259,7
4333684261,7
4333684262,7
4333684263,7
4333684265,7
4333684269,7
4333684273,7
4333684863,7
4333685570,7
4333685576,7
4333685841,7
4333686064,7
4333686065,7
4333688055,7
4333691605,7
4333691613,7
4333691615,7
4333694240,7
4333694243,7
4333694248,7
4333694258,7
4333694266,7
4333703207,7
4333703218,7
4333703424,7
4333703427,7
4333823434,7
4333823437,7
4333826122,39
4333826819,7
4333831738,39
4333831746,39
4333831749,39
4333832140,39
4333832148,39
4333835968,39
4333835974,39
4333835977,39
4333835979,39
4333835983,39
4333835986,39
4333836727,39
4333836733,39
4333909348,7
4333909352,7
4333909354,7
4333909359,7
4333913420,7
4333918185,7
4333918193,7
4333920626,7
4333920631,7
4333921195,7
4333922858,44
4333922866,44
4333922880,44
4333922881,44
4333923572,44
4333923581,44
4333923588,44
4333923691,44
4333925501,44
4333926704,44
4333926708,44
4333927942,44
4333927948,44
4333927950,44
4333928249,44
4333928252,44
4333929226,44
4333929235,44
4333929932,44
4333929935,44
4333930274,44
4333930689,44
4333930691,44
4333931620,44
4333931630,44
4333931632,44
4333935180,44
4333935186,44
4333935190,44
4333937479,44
4333942128,44
4333942131,44
4333942134,44
4333942144,44
4333943193,44
4333943533,44
4333943536,44
4333943543,44
4333943551,44
4333946157,44
4333946249,44
4333946251,44
4333948249,44
4333948556,44
4333948560,44
4333948781,44
4333948785,44
4333949795,44
4333951689,44
4333951694,44
4333955391,44
4333956034,44
4333956046,44
4333957722,44
4333991450,59
4333991451,59
4333991457,59
4333992194,59
4333997471,59
4333998330,59
4333998414,59
4333998415,59
4335117388,44
4335118301,60
4335120917,60
4335121882,60
4335121887,60
4335124367,60
4335124386,44
4335125501,44
4335125502,44
4335125509,44
4335125510,44
4335125511,44
4335210294,60
4335210295,60
4335210299,60
4335210300,60
4335210303,60
4335210305,60
4335210310,60
4335213498,60
4335213504,60
4335213634,60
4335213647,60
4335214057,60
4335214059,60
4335214060,60
4335214067,60
4335214585,60
4335214587,60
4335217343,60
4335217345,60
4335217349,60
4335218816,60
4335218822,60
4335219027,60
4335219032,60
4335219439,60
4335219443,60
4335222899,60
4335222902,60
4335225033,60
4335225488,60
4335226361,60
4335226365,60
4335226367,60
4335227174,60
4335227177,60
4335227179,60
4335231931,60
4335231944,60
4335232013,60
4335232014,60
4335232022,60
4335232027,60
4335232035,60
4335232042,60
4335232058,60
4335232059,60
4335237793,60
4335237805,60
4335240534,60
4335240553,60
4335243155,60
4335243163,60
4335254719,60
4335254720,60
4335256317,60
4335256325,60
4335257130,60
4335257133,60
4335257134,60
4335257135,60
4335257137,60
4335257140,60
4335274921,60
4335275633,60
4335275637,60
4335275641,60
4335309394,60
4335309395,60
4335309399,60
4335309401,60
4335309523,60
4335309525,60
4335309530,60
4335310492,60
4335325485,60
4335325488,60
4335325720,60
4335325721,60
4335326402,60
4335326408,60
4335327455,60
4335327461,60
4335327488,60
4335327592,60
4335333751,60
4335333756,60
4335388655,60
4335388656,60
4335390037,60
4335394484,60
4335394490,60
4335395428,60
4335395434,60
4335395437,60
4335395441,60
4335396741,60
4335396754,60
4335396757,60
4335397919,60
4335397929,60
4335397941,60
4335398121,60
4335399519,60
4335400300,60
4335400701,60
4335421025,60
4335421027,60
4335421029,60
4335426002,60
4335426005,60
4335426011,60
4335426013,60
4335426015,60
4335426019,60
4335428549,60
4335428553,60
4335428565,60
4335429266,60
4335429269,60
4335429525,60
4335432211,60
4335432220,60
4335432291,60
4335432292,60
4335433025,60
4335433035,60
4335433318,60
4335435068,60
4335435072,60
4335435086,60
4335435959,60
4335435961,60
4335436815,60
4335436816,60
4335436820,60
4335436827,60
4335439710,60
4335441068,60
4335441079,60
4335446287,60
4335449791,60
4335456545,60
4335459400,60
4335459406,60
4335460023,60
4335460024,60
4335462955,60
4335462960,60
4335462961,60
4335466265,60
4335466268,60
4335466269,60
4335466274,60
4335466277,60
4335466279,60
4335466281,60
4335466284,60
4335466286,60
4335466288,60
4335471534,60
4335471544,60
4335471547,61
4335471548,61
4335471550,61
4335471552,61
4335471554,61
4335471557,61
4335471558,61
4335472863,61
4335472866,61
4335472869,61
4335472872,61
4335472880,61
4335473767,61
4335475281,61
4335475283,61
4335475564,61
4335475572,61
4335475574,61
4335475599,61
4335477174,61
4335477177,61
4335477178,61
4335478141,61
4335478148,61
4335478151,61
4335478558,61
4335478763,61
4335478765,61
4335478769,61
4335480828,61
4335481325,61
4335481328,61
4335481587,61
4335482105,60
4335485596,60
4335485597,60
4335485599,60
4335485742,60
4335485744,60
4335485748,60
4335488268,60
4335488269,60
4335488771,60
4335488775,60
4335491214,61
4335494812,61
4335494877,61
4335494878,61
4335494882,61
4335494888,61
4335494933,61
4335495661,61
4335495664,61
4335496407,61
4335496424,61
4335496453,61
4335497512,61
4335497519,61
4335497521,61
4335501384,61
4335501590,61
4335501591,61
4335501594,61
4335501696,61
4335501697,61
4335501700,61
4335501702,61
4335501712,61
4335501713,61
4335503971,61
4335506095,61
4335506098,61
4335506103,61
4335506107,61
4335506532,61
4335506648,61
4335509208,61
4335509210,61
4335509583,61
4335509585,61
4415537234,7
4415571795,60
4415582596,7
4415590131,61
4415610056,60
4415642548,61
4415718275,60
4415729668,7
4419593612,21
4462403290,60
4462484805,5
4464033363,13
4464033364,13
4530345926,7
4532876824,7
4551228140,20
4556232500,47
4556232503,47
4556232504,47
4556232515,47
4556232518,47
4556232520,47
4556232521,47
4556232522,47
4556232524,47
4556232528,47
4556232533,47
4556232534,47
4556232535,47
4556232536,47
4570068829,20
4570068830,20
4570068831,20
4570068832,20
4570068833,20
4570068834,20
4570068835,20
4570068838,20
4570068840,20
4570068841,20
4570068842,20
4570068843,20
4570068844,20
4570068845,20
4570068846,20
4589736303,31
4589736308,31
4589922000,31
4589922003,31
4603064480,5
4603064485,5
4603064706,5
4603064710,5
4603064711,5
4603064715,5
4603064716,5
4603064717,5
4603064721,5
4603064728,5
4603073451,5
4603073453,5
4603073464,5
4603073475,5
4603073478,5
4603073480,5
4603073487,5
